"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"170","2009","9","Punjab","Roopnagar","7.92","10.6","14.58","18.97","24.92","26.7","26.62","25.51","22.75","17.98","10.89","7.91"
"170","2010","9","Punjab","Roopnagar","5.09","9.6","16.47","21.98","25.17","26.71","26.21","25.82","23.39","18.58","11.06","6.43"
"170","2011","9","Punjab","Roopnagar","4.95","10.03","14.75","18.36","25.59","27.2","26.26","25.25","23.37","18.14","11.88","7.96"
"170","2012","9","Punjab","Roopnagar","6.15","9.49","14.53","18.9","24.42","28.3","27.24","25.22","23.26","17.38","11.01","7.88"
"170","2013","9","Punjab","Roopnagar","4.86","6.43","13.47","19.29","25.12","27.14","26.75","25.43","23.81","19.16","10.91","7.77"
"170","2014","9","Punjab","Roopnagar","6.78","8.75","13.16","18.12","22.88","27.9","27.33","25.71","22.61","18.15","11.22","7.03"
"170","2015","9","Punjab","Roopnagar","6.78","8.75","13.16","18.12","22.88","27.9","27.33","25.71","22.61","18.15","12.3","8.15"
"171","2000","9","Punjab","Ludhiana","5.89","7.43","12.6","19.81","25.66","26.46","26.12","25.61","22.82","17.58","11.38","6.64"
"171","2001","9","Punjab","Ludhiana","5.45","9.76","14.02","18.61","24.69","26.16","26.22","25.92","23.04","18.35","10.66","8.57"
"171","2002","9","Punjab","Ludhiana","5.57","8.58","13.31","20.15","24.23","26.66","26.36","26.85","22.9","18.18","11.33","8.13"
"171","2003","9","Punjab","Ludhiana","4.24","8.77","12.82","18.74","22.81","27.37","25.91","25.53","22.5","16.46","9.29","6.29"
"171","2004","9","Punjab","Ludhiana","6.26","8.21","15.0","20.07","23.05","25.89","26.73","24.87","22.16","16.1","9.71","6.58"
"171","2005","9","Punjab","Ludhiana","4.82","8.76","13.4","17.88","22.72","27.49","25.9","25.3","23.82","17.37","10.22","5.47"
"171","2006","9","Punjab","Ludhiana","7.73","12.06","13.29","20.03","25.27","26.18","26.29","26.55","22.49","18.54","12.13","7.01"
"171","2007","9","Punjab","Ludhiana","5.13","9.42","12.22","20.48","24.11","26.39","26.67","26.19","23.67","16.91","9.66","6.69"
"171","2008","9","Punjab","Ludhiana","7.13","6.88","15.07","17.52","23.87","26.82","26.89","25.06","23.0","17.81","10.29","7.33"
"171","2009","9","Punjab","Ludhiana","7.31","10.53","14.25","18.41","24.72","26.73","26.99","25.99","22.89","17.84","10.42","7.36"
