"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"174","2014","9","Punjab","Bhatinda","19.35","22.64","28.88","34.96","38.8","41.53","36.3","35.73","34.06","33.28","28.59","20.89"
"174","2015","9","Punjab","Bhatinda","18.86","24.08","28.76","35.99","40.35","38.35","34.41","34.01","34.88","33.81","28.44","22.66"
"175","2000","9","Punjab","Sangrur","20.05","22.23","29.11","38.01","41.26","38.59","34.21","33.81","33.58","34.36","28.87","24.27"
"175","2001","9","Punjab","Sangrur","18.86","25.11","30.16","35.77","40.51","37.21","34.4","34.48","33.49","33.31","29.09","22.16"
"175","2002","9","Punjab","Sangrur","20.22","24.0","31.66","37.13","42.13","39.69","36.88","33.46","30.63","32.14","28.64","22.82"
"175","2003","9","Punjab","Sangrur","20.12","23.69","29.58","37.01","38.87","39.97","33.93","33.1","33.14","32.84","27.42","22.24"
"175","2004","9","Punjab","Sangrur","19.62","26.44","34.45","38.24","40.89","37.41","35.79","33.54","34.87","30.66","29.27","24.19"
"175","2005","9","Punjab","Sangrur","19.34","22.18","30.68","35.42","37.86","40.07","34.25","35.34","32.93","32.11","28.47","21.65"
"175","2006","9","Punjab","Sangrur","19.42","28.01","30.02","36.0","41.13","37.73","35.78","32.67","32.91","32.31","28.15","22.24"
"175","2007","9","Punjab","Sangrur","20.97","24.32","29.86","38.66","38.89","39.36","35.01","34.33","33.13","32.52","30.16","21.38"
"175","2008","9","Punjab","Sangrur","17.0","23.4","33.3","35.73","37.88","37.52","34.73","32.76","32.24","33.83","29.62","24.24"
"175","2009","9","Punjab","Sangrur","20.74","25.33","31.37","36.98","40.18","39.86","35.3","34.96","33.22","32.58","27.67","22.98"
"175","2010","9","Punjab","Sangrur","21.17","25.62","34.16","39.54","41.1","38.96","35.0","32.56","31.64","33.13","29.49","22.2"
"175","2011","9","Punjab","Sangrur","18.77","23.56","30.97","34.95","40.84","37.61","34.75","33.09","32.77","32.58","30.62","23.23"
"175","2012","9","Punjab","Sangrur","17.67","21.63","29.28","35.3","40.19","40.61","36.59","33.09","32.62","30.72","27.58","21.74"
"175","2013","9","Punjab","Sangrur","19.22","24.68","29.9","35.67","40.98","38.69","34.95","32.69","33.03","32.75","27.54","22.82"
"175","2014","9","Punjab","Sangrur","18.98","22.34","28.53","34.85","38.29","40.45","35.23","34.56","33.15","32.34","28.37","20.91"
"175","2015","9","Punjab","Sangrur","18.68","24.36","28.48","35.67","40.01","37.39","33.45","32.97","33.92","33.0","28.3","22.44"
"176","2000","9","Punjab","Patiala","19.74","21.74","28.49","37.56","40.9","37.99","33.66","33.21","33.26","33.67","28.13","23.76"
"176","2001","9","Punjab","Patiala","18.56","24.78","29.61","35.38","40.16","36.77","34.0","33.99","33.18","32.73","28.36","21.74"
"176","2002","9","Punjab","Patiala","19.84","23.66","31.05","36.67","41.73","39.16","36.39","32.87","30.22","31.5","27.94","22.42"
